r,t,y,TotalCapacityAnnual
"Region1","BIO_RESPRD",2018,298.866133366078
"Region1","BIO_RESPRD",2019,313.137200818224
"Region1","BIO_RESPRD",2020,328.089721478428
"Region1","BIO_RESPRD",2021,343.756235668419
"Region1","BIO_RESPRD",2022,360.170836728418
"Region1","BIO_RESPRD",2023,377.369246506667
"Region1","BIO_RESPRD",2024,395.388892636376
"Region1","BIO_RESPRD",2025,414.26898944146
"Region1","BIO_RESPRD",2026,434.050623913813
"Region1","BIO_RESPRD",2027,454.776845463774
"Region1","BIO_RESPRD",2028,476.492758404287
"Region1","BIO_RESPRD",2029,499.245621497066
"Region1","BIO_RESPRD",2030,523.084949938143
"Region1","BIO_RESPRD",2031,548.0626228992
"Region1","BIO_RESPRD",2032,574.23299708954
"Region1","BIO_RESPRD",2033,601.653025197345
"Region1","BIO_RESPRD",2034,630.382378859556
"Region1","BIO_RESPRD",2035,660.483579169205
"Region1","BIO_RESPRD2",2018,0
"Region1","BIO_RESPRD2",2019,0
"Region1","BIO_RESPRD2",2020,0
"Region1","BIO_RESPRD2",2021,0
"Region1","BIO_RESPRD2",2022,0
"Region1","BIO_RESPRD2",2023,0
"Region1","BIO_RESPRD2",2024,0
"Region1","BIO_RESPRD2",2025,0
"Region1","BIO_RESPRD2",2026,0
"Region1","BIO_RESPRD2",2027,0
"Region1","BIO_RESPRD2",2028,0
"Region1","BIO_RESPRD2",2029,0
"Region1","BIO_RESPRD2",2030,0
"Region1","BIO_RESPRD2",2031,0
"Region1","BIO_RESPRD2",2032,0
"Region1","BIO_RESPRD2",2033,0
"Region1","BIO_RESPRD2",2034,0
"Region1","BIO_RESPRD2",2035,0
"Region1","BIODSL_PROD_001",2018,155.416606014601
"Region1","BIODSL_PROD_001",2019,162.837857939794
"Region1","BIODSL_PROD_001",2020,170.613479707971
"Region1","BIODSL_PROD_001",2021,178.760392963296
"Region1","BIODSL_PROD_001",2022,187.296326951855
"Region1","BIODSL_PROD_001",2023,196.239857777778
"Region1","BIODSL_PROD_001",2024,205.610448588859
"Region1","BIODSL_PROD_001",2025,215.428491649225
"Region1","BIODSL_PROD_001",2026,225.715353049305
"Region1","BIODSL_PROD_001",2027,236.493419377938
"Region1","BIODSL_PROD_001",2028,247.786145816062
"Region1","BIODSL_PROD_001",2029,259.61810790279
"Region1","BIODSL_PROD_001",2030,272.015054570017
"Region1","BIODSL_PROD_001",2031,285.003964066147
"Region1","BIODSL_PROD_001",2032,298.613103010681
"Region1","BIODSL_PROD_001",2033,312.872087986139
