r,t,y,TotalCapacityAnnual
"Region1","BS_OTH_001",2018,0
"Region1","BS_OTH_001",2019,0
"Region1","BS_OTH_001",2020,0
"Region1","BS_OTH_001",2021,0
"Region1","BS_OTH_001",2022,0
"Region1","BS_OTH_001",2023,0
"Region1","BS_OTH_001",2024,0
"Region1","BS_OTH_001",2025,0
"Region1","BS_OTH_001",2026,0
"Region1","BS_OTH_001",2027,0
"Region1","BS_OTH_001",2028,0
"Region1","BS_OTH_001",2029,0
"Region1","BS_OTH_001",2030,0
"Region1","BS_OTH_001",2031,0
"Region1","BS_OTH_001",2032,0
"Region1","BS_OTH_001",2033,0
"Region1","BS_OTH_001",2034,0
"Region1","BS_OTH_001",2035,0
"Region1","BS_OTH_001",2036,0
"Region1","BS_OTH_001",2037,0
"Region1","BS_OTH_001",2038,0
"Region1","BS_OTH_001",2039,0
"Region1","BS_OTH_001",2040,0
"Region1","BS_OTH_001",2041,0
"Region1","BS_OTH_001",2042,0
"Region1","BS_OTH_001",2043,0
"Region1","BS_OTH_001",2044,0
"Region1","BS_OTH_001",2045,0
"Region1","BS_OTH_001",2046,0
"Region1","BS_OTH_001",2047,0
"Region1","BS_OTH_001",2048,0
"Region1","BS_OTH_001",2049,0
"Region1","BS_OTH_001",2050,0
"Region1","BS_RES_CWH_001",2018,191.631085243429
"Region1","BS_RES_CWH_001",2019,0
"Region1","BS_RES_CWH_001",2020,0
"Region1","BS_RES_CWH_001",2021,0
"Region1","BS_RES_CWH_001",2022,0
"Region1","BS_RES_CWH_001",2023,0
"Region1","BS_RES_CWH_001",2024,0
"Region1","BS_RES_CWH_001",2025,0
"Region1","BS_RES_CWH_001",2026,0
"Region1","BS_RES_CWH_001",2027,0
"Region1","BS_RES_CWH_001",2028,0
"Region1","BS_RES_CWH_001",2029,0
"Region1","BS_RES_CWH_001",2030,0
"Region1","BS_RES_CWH_001",2031,0
"Region1","BS_RES_CWH_001",2032,0
"Region1","BS_RES_CWH_001",2033,0
"Region1","BS_RES_CWH_001",2034,0
"Region1","BS_RES_CWH_001",2035,0
"Region1","BS_RES_CWH_001",2036,0
"Region1","BS_RES_CWH_001",2037,0
"Region1","BS_RES_CWH_001",2038,0
"Region1","BS_RES_CWH_001",2039,0
"Region1","BS_RES_CWH_001",2040,0
"Region1","BS_RES_CWH_001",2041,0
"Region1","BS_RES_CWH_001",2042,0
"Region1","BS_RES_CWH_001",2043,0
"Region1","BS_RES_CWH_001",2044,206.443665003106
"Region1","BS_RES_CWH_001",2045,438.691781333187
"Region1","BS_RES_CWH_001",2046,692.025094784061
"Region1","BS_RES_CWH_001",2047,988.07548682835
"Region1","BS_RES_CWH_001",2048,1290.0368110134
"Region1","BS_RES_CWH_001",2049,1618.91517316674
"Region1","BS_RES_CWH_001",2050,5122.1235954526
"Region1","BS_RES_EL_001",2018,0
"Region1","BS_RES_EL_001",2019,0
"Region1","BS_RES_EL_001",2020,0
"Region1","BS_RES_EL_001",2021,0
"Region1","BS_RES_EL_001",2022,0
"Region1","BS_RES_EL_001",2023,0
"Region1","BS_RES_EL_001",2024,0
"Region1","BS_RES_EL_001",2025,0
"Region1","BS_RES_EL_001",2026,0
"Region1","BS_RES_EL_001",2027,0
"Region1","BS_RES_EL_001",2028,0
"Region1","BS_RES_EL_001",2029,0
"Region1","BS_RES_EL_001",2030,0
"Region1","BS_RES_EL_001",2031,0
"Region1","BS_RES_EL_001",2032,0
"Region1","BS_RES_EL_001",2033,0
"Region1","BS_RES_EL_001",2034,0
"Region1","BS_RES_EL_001",2035,0
"Region1","BS_RES_EL_001",2036,0
"Region1","BS_RES_EL_001",2037,0
"Region1","BS_RES_EL_001",2038,0
"Region1","BS_RES_EL_001",2039,0
"Region1","BS_RES_EL_001",2040,0
"Region1","BS_RES_EL_001",2041,0
"Region1","BS_RES_EL_001",2042,0
"Region1","BS_RES_EL_001",2043,0
"Region1","BS_RES_EL_001",2044,0
"Region1","BS_RES_EL_001",2045,0
"Region1","BS_RES_EL_001",2046,0
"Region1","BS_RES_EL_001",2047,0
"Region1","BS_RES_EL_001",2048,0
"Region1","BS_RES_EL_001",2049,0
"Region1","BS_RES_EL_001",2050,0
"Region1","BS_RES_EL_002",2018,0
"Region1","BS_RES_EL_002",2019,0
"Region1","BS_RES_EL_002",2020,0
"Region1","BS_RES_EL_002",2021,0
"Region1","BS_RES_EL_002",2022,0
"Region1","BS_RES_EL_002",2023,0
"Region1","BS_RES_EL_002",2024,0
"Region1","BS_RES_EL_002",2025,0
"Region1","BS_RES_EL_002",2026,0
"Region1","BS_RES_EL_002",2027,0
"Region1","BS_RES_EL_002",2028,0
"Region1","BS_RES_EL_002",2029,0
"Region1","BS_RES_EL_002",2030,0
"Region1","BS_RES_EL_002",2031,0
"Region1","BS_RES_EL_002",2032,0
"Region1","BS_RES_EL_002",2033,0
"Region1","BS_RES_EL_002",2034,0
"Region1","BS_RES_EL_002",2035,0
"Region1","BS_RES_EL_002",2036,0
"Region1","BS_RES_EL_002",2037,0
"Region1","BS_RES_EL_002",2038,0
"Region1","BS_RES_EL_002",2039,0
"Region1","BS_RES_EL_002",2040,0
"Region1","BS_RES_EL_002",2041,0
"Region1","BS_RES_EL_002",2042,0
"Region1","BS_RES_EL_002",2043,0
"Region1","BS_RES_EL_002",2044,0
"Region1","BS_RES_EL_002",2045,0
"Region1","BS_RES_EL_002",2046,0
"Region1","BS_RES_EL_002",2047,0
"Region1","BS_RES_EL_002",2048,0
"Region1","BS_RES_EL_002",2049,0
"Region1","BS_RES_EL_002",2050,0
"Region1","BS_TRA_AN_001",2018,0
"Region1","BS_TRA_AN_001",2019,0
"Region1","BS_TRA_AN_001",2020,0
"Region1","BS_TRA_AN_001",2021,0
"Region1","BS_TRA_AN_001",2022,0
"Region1","BS_TRA_AN_001",2023,0
"Region1","BS_TRA_AN_001",2024,0
"Region1","BS_TRA_AN_001",2025,0
"Region1","BS_TRA_AN_001",2026,0
"Region1","BS_TRA_AN_001",2027,0
"Region1","BS_TRA_AN_001",2028,0
"Region1","BS_TRA_AN_001",2029,0
"Region1","BS_TRA_AN_001",2030,0
"Region1","BS_TRA_AN_001",2031,0
"Region1","BS_TRA_AN_001",2032,0
"Region1","BS_TRA_AN_001",2033,0
"Region1","BS_TRA_AN_001",2034,0
"Region1","BS_TRA_AN_001",2035,0
"Region1","BS_TRA_AN_001",2036,0
"Region1","BS_TRA_AN_001",2037,0
"Region1","BS_TRA_AN_001",2038,0
"Region1","BS_TRA_AN_001",2039,0
"Region1","BS_TRA_AN_001",2040,0
"Region1","BS_TRA_AN_001",2041,0
"Region1","BS_TRA_AN_001",2042,0
"Region1","BS_TRA_AN_001",2043,0
"Region1","BS_TRA_AN_001",2044,0
"Region1","BS_TRA_AN_001",2045,0
"Region1","BS_TRA_AN_001",2046,0
"Region1","BS_TRA_AN_001",2047,0
"Region1","BS_TRA_AN_001",2048,0
"Region1","BS_TRA_AN_001",2049,0
