r,t,f,y,UseByTechnologyAnnual
"Region1","BS_COM_EL_001","BIO",2018,0
"Region1","BS_COM_EL_001","BIO",2019,0
"Region1","BS_COM_EL_001","BIO",2020,0
"Region1","BS_COM_EL_001","BIO",2021,0
"Region1","BS_COM_EL_001","BIO",2022,0
"Region1","BS_COM_EL_001","BIO",2023,0
"Region1","BS_COM_EL_001","BIO",2024,0
"Region1","BS_COM_EL_001","BIO",2025,0
"Region1","BS_COM_EL_001","BIO",2026,0
"Region1","BS_COM_EL_001","BIO",2027,0
"Region1","BS_COM_EL_001","BIO",2028,0
"Region1","BS_COM_EL_001","BIO",2029,0
"Region1","BS_COM_EL_001","BIO",2030,0
"Region1","BS_COM_EL_001","BIO",2031,0
"Region1","BS_COM_EL_001","BIO",2032,0
"Region1","BS_COM_EL_001","BIO",2033,0
"Region1","BS_COM_EL_001","BIO",2034,0
"Region1","BS_COM_EL_001","BIO",2035,0
"Region1","BS_COM_EL_001","BIO",2036,0
"Region1","BS_COM_EL_001","BIO",2037,0
"Region1","BS_COM_EL_001","BIO",2038,0
"Region1","BS_COM_EL_001","BIO",2039,0
"Region1","BS_COM_EL_001","BIO",2040,0
"Region1","BS_COM_EL_001","BIO",2041,0
"Region1","BS_COM_EL_001","BIO",2042,0
"Region1","BS_COM_EL_001","BIO",2043,0
"Region1","BS_COM_EL_001","BIO",2044,0
"Region1","BS_COM_EL_001","BIO",2045,0
"Region1","BS_COM_EL_001","BIO",2046,0
"Region1","BS_COM_EL_001","BIO",2047,0
"Region1","BS_COM_EL_001","BIO",2048,0
"Region1","BS_COM_EL_001","BIO",2049,0
"Region1","BS_COM_EL_001","BIO",2050,0
"Region1","BS_COM_EL_001","COA",2018,0
"Region1","BS_COM_EL_001","COA",2019,0
"Region1","BS_COM_EL_001","COA",2020,0
"Region1","BS_COM_EL_001","COA",2021,0
"Region1","BS_COM_EL_001","COA",2022,0
"Region1","BS_COM_EL_001","COA",2023,0
"Region1","BS_COM_EL_001","COA",2024,0
"Region1","BS_COM_EL_001","COA",2025,0
"Region1","BS_COM_EL_001","COA",2026,0
"Region1","BS_COM_EL_001","COA",2027,0
"Region1","BS_COM_EL_001","COA",2028,0
"Region1","BS_COM_EL_001","COA",2029,0
"Region1","BS_COM_EL_001","COA",2030,0
"Region1","BS_COM_EL_001","COA",2031,0
"Region1","BS_COM_EL_001","COA",2032,0
"Region1","BS_COM_EL_001","COA",2033,0
"Region1","BS_COM_EL_001","COA",2034,0
"Region1","BS_COM_EL_001","COA",2035,0
"Region1","BS_COM_EL_001","COA",2036,0
"Region1","BS_COM_EL_001","COA",2037,0
"Region1","BS_COM_EL_001","COA",2038,0
"Region1","BS_COM_EL_001","COA",2039,0
"Region1","BS_COM_EL_001","COA",2040,0
"Region1","BS_COM_EL_001","COA",2041,0
"Region1","BS_COM_EL_001","COA",2042,0
"Region1","BS_COM_EL_001","COA",2043,0
"Region1","BS_COM_EL_001","COA",2044,0
"Region1","BS_COM_EL_001","COA",2045,0
"Region1","BS_COM_EL_001","COA",2046,0
"Region1","BS_COM_EL_001","COA",2047,0
"Region1","BS_COM_EL_001","COA",2048,0
"Region1","BS_COM_EL_001","COA",2049,0
"Region1","BS_COM_EL_001","COA",2050,0
"Region1","BS_COM_EL_001","COM_ELC",2018,0
"Region1","BS_COM_EL_001","COM_ELC",2019,0
"Region1","BS_COM_EL_001","COM_ELC",2020,0
"Region1","BS_COM_EL_001","COM_ELC",2021,0
"Region1","BS_COM_EL_001","COM_ELC",2022,0
"Region1","BS_COM_EL_001","COM_ELC",2023,0
"Region1","BS_COM_EL_001","COM_ELC",2024,0
"Region1","BS_COM_EL_001","COM_ELC",2025,0
"Region1","BS_COM_EL_001","COM_ELC",2026,0
"Region1","BS_COM_EL_001","COM_ELC",2027,0
"Region1","BS_COM_EL_001","COM_ELC",2028,0
"Region1","BS_COM_EL_001","COM_ELC",2029,0
"Region1","BS_COM_EL_001","COM_ELC",2030,0
"Region1","BS_COM_EL_001","COM_ELC",2031,0
"Region1","BS_COM_EL_001","COM_ELC",2032,0
"Region1","BS_COM_EL_001","COM_ELC",2033,0
"Region1","BS_COM_EL_001","COM_ELC",2034,0
"Region1","BS_COM_EL_001","COM_ELC",2035,0
"Region1","BS_COM_EL_001","COM_ELC",2036,0
"Region1","BS_COM_EL_001","COM_ELC",2037,0
"Region1","BS_COM_EL_001","COM_ELC",2038,0
"Region1","BS_COM_EL_001","COM_ELC",2039,0
"Region1","BS_COM_EL_001","COM_ELC",2040,0
"Region1","BS_COM_EL_001","COM_ELC",2041,0
"Region1","BS_COM_EL_001","COM_ELC",2042,0
"Region1","BS_COM_EL_001","COM_ELC",2043,0
"Region1","BS_COM_EL_001","COM_ELC",2044,0
"Region1","BS_COM_EL_001","COM_ELC",2045,0
"Region1","BS_COM_EL_001","COM_ELC",2046,0
"Region1","BS_COM_EL_001","COM_ELC",2047,0
"Region1","BS_COM_EL_001","COM_ELC",2048,0
"Region1","BS_COM_EL_001","COM_ELC",2049,0
"Region1","BS_COM_EL_001","COM_ELC",2050,0
"Region1","BS_COM_EL_001","COM_OTH",2018,0
"Region1","BS_COM_EL_001","COM_OTH",2019,0
"Region1","BS_COM_EL_001","COM_OTH",2020,0
"Region1","BS_COM_EL_001","COM_OTH",2021,0
"Region1","BS_COM_EL_001","COM_OTH",2022,0
"Region1","BS_COM_EL_001","COM_OTH",2023,0
"Region1","BS_COM_EL_001","COM_OTH",2024,0
"Region1","BS_COM_EL_001","COM_OTH",2025,0
"Region1","BS_COM_EL_001","COM_OTH",2026,0
"Region1","BS_COM_EL_001","COM_OTH",2027,0
"Region1","BS_COM_EL_001","COM_OTH",2028,0
"Region1","BS_COM_EL_001","COM_OTH",2029,0
"Region1","BS_COM_EL_001","COM_OTH",2030,0
"Region1","BS_COM_EL_001","COM_OTH",2031,0
"Region1","BS_COM_EL_001","COM_OTH",2032,0
"Region1","BS_COM_EL_001","COM_OTH",2033,0
"Region1","BS_COM_EL_001","COM_OTH",2034,0
"Region1","BS_COM_EL_001","COM_OTH",2035,0
"Region1","BS_COM_EL_001","COM_OTH",2036,0
"Region1","BS_COM_EL_001","COM_OTH",2037,0
"Region1","BS_COM_EL_001","COM_OTH",2038,0
"Region1","BS_COM_EL_001","COM_OTH",2039,0
"Region1","BS_COM_EL_001","COM_OTH",2040,0
"Region1","BS_COM_EL_001","COM_OTH",2041,0
"Region1","BS_COM_EL_001","COM_OTH",2042,0
"Region1","BS_COM_EL_001","COM_OTH",2043,0
"Region1","BS_COM_EL_001","COM_OTH",2044,0
"Region1","BS_COM_EL_001","COM_OTH",2045,0
"Region1","BS_COM_EL_001","COM_OTH",2046,0
"Region1","BS_COM_EL_001","COM_OTH",2047,0
"Region1","BS_COM_EL_001","COM_OTH",2048,0
"Region1","BS_COM_EL_001","COM_OTH",2049,0
"Region1","BS_COM_EL_001","COM_OTH",2050,0
"Region1","BS_COM_EL_001","DSL",2018,0
"Region1","BS_COM_EL_001","DSL",2019,0
"Region1","BS_COM_EL_001","DSL",2020,0
"Region1","BS_COM_EL_001","DSL",2021,0
"Region1","BS_COM_EL_001","DSL",2022,0
"Region1","BS_COM_EL_001","DSL",2023,0
"Region1","BS_COM_EL_001","DSL",2024,0
"Region1","BS_COM_EL_001","DSL",2025,0
"Region1","BS_COM_EL_001","DSL",2026,0
"Region1","BS_COM_EL_001","DSL",2027,0
"Region1","BS_COM_EL_001","DSL",2028,0
"Region1","BS_COM_EL_001","DSL",2029,0
"Region1","BS_COM_EL_001","DSL",2030,0
"Region1","BS_COM_EL_001","DSL",2031,0
"Region1","BS_COM_EL_001","DSL",2032,0
"Region1","BS_COM_EL_001","DSL",2033,0
"Region1","BS_COM_EL_001","DSL",2034,0
"Region1","BS_COM_EL_001","DSL",2035,0
"Region1","BS_COM_EL_001","DSL",2036,0
"Region1","BS_COM_EL_001","DSL",2037,0
"Region1","BS_COM_EL_001","DSL",2038,0
"Region1","BS_COM_EL_001","DSL",2039,0
"Region1","BS_COM_EL_001","DSL",2040,0
"Region1","BS_COM_EL_001","DSL",2041,0
"Region1","BS_COM_EL_001","DSL",2042,0
"Region1","BS_COM_EL_001","DSL",2043,0
"Region1","BS_COM_EL_001","DSL",2044,0
"Region1","BS_COM_EL_001","DSL",2045,0
"Region1","BS_COM_EL_001","DSL",2046,0
"Region1","BS_COM_EL_001","DSL",2047,0
"Region1","BS_COM_EL_001","DSL",2048,0
"Region1","BS_COM_EL_001","DSL",2049,0
"Region1","BS_COM_EL_001","DSL",2050,0
"Region1","BS_COM_EL_001","ELC_001",2018,0
