r,t,e,y,AnnualTechnologyEmission
"Region1","BIOFUEL_PROD","CO2eq",2040,0
"Region1","BIOFUEL_PROD","CO2eq",2041,0
"Region1","BIOFUEL_PROD","CO2eq",2042,0
"Region1","BIOFUEL_PROD","CO2eq",2043,0
"Region1","BIOFUEL_PROD","CO2eq",2044,0
"Region1","BIOFUEL_PROD","CO2eq",2045,0
"Region1","BIOFUEL_PROD","CO2eq",2046,0
"Region1","BIOFUEL_PROD","CO2eq",2047,0
"Region1","BIOFUEL_PROD","CO2eq",2048,0
"Region1","BIOFUEL_PROD","CO2eq",2049,0
"Region1","BIOFUEL_PROD","CO2eq",2050,0
"Region1","BIOFUEL_PROD","NOx",2018,0
"Region1","BIOFUEL_PROD","NOx",2019,0
"Region1","BIOFUEL_PROD","NOx",2020,0
"Region1","BIOFUEL_PROD","NOx",2021,0
"Region1","BIOFUEL_PROD","NOx",2022,0
"Region1","BIOFUEL_PROD","NOx",2023,0
"Region1","BIOFUEL_PROD","NOx",2024,0
"Region1","BIOFUEL_PROD","NOx",2025,0
"Region1","BIOFUEL_PROD","NOx",2026,0
"Region1","BIOFUEL_PROD","NOx",2027,0
"Region1","BIOFUEL_PROD","NOx",2028,0
"Region1","BIOFUEL_PROD","NOx",2029,0
"Region1","BIOFUEL_PROD","NOx",2030,0
"Region1","BIOFUEL_PROD","NOx",2031,0
"Region1","BIOFUEL_PROD","NOx",2032,0
"Region1","BIOFUEL_PROD","NOx",2033,0
"Region1","BIOFUEL_PROD","NOx",2034,0
"Region1","BIOFUEL_PROD","NOx",2035,0
"Region1","BIOFUEL_PROD","NOx",2036,0
"Region1","BIOFUEL_PROD","NOx",2037,0
"Region1","BIOFUEL_PROD","NOx",2038,0
"Region1","BIOFUEL_PROD","NOx",2039,0
"Region1","BIOFUEL_PROD","NOx",2040,0
"Region1","BIOFUEL_PROD","NOx",2041,0
"Region1","BIOFUEL_PROD","NOx",2042,0
"Region1","BIOFUEL_PROD","NOx",2043,0
"Region1","BIOFUEL_PROD","NOx",2044,0
"Region1","BIOFUEL_PROD","NOx",2045,0
"Region1","BIOFUEL_PROD","NOx",2046,0
"Region1","BIOFUEL_PROD","NOx",2047,0
"Region1","BIOFUEL_PROD","NOx",2048,0
"Region1","BIOFUEL_PROD","NOx",2049,0
"Region1","BIOFUEL_PROD","NOx",2050,0
"Region1","BS_COM_EL_001","CH4",2018,0
"Region1","BS_COM_EL_001","CH4",2019,0
"Region1","BS_COM_EL_001","CH4",2020,0
"Region1","BS_COM_EL_001","CH4",2021,0
"Region1","BS_COM_EL_001","CH4",2022,0
"Region1","BS_COM_EL_001","CH4",2023,0
"Region1","BS_COM_EL_001","CH4",2024,0
"Region1","BS_COM_EL_001","CH4",2025,0
"Region1","BS_COM_EL_001","CH4",2026,0
"Region1","BS_COM_EL_001","CH4",2027,0
"Region1","BS_COM_EL_001","CH4",2028,0
"Region1","BS_COM_EL_001","CH4",2029,0
"Region1","BS_COM_EL_001","CH4",2030,0
"Region1","BS_COM_EL_001","CH4",2031,0
"Region1","BS_COM_EL_001","CH4",2032,0
"Region1","BS_COM_EL_001","CH4",2033,0
"Region1","BS_COM_EL_001","CH4",2034,0
"Region1","BS_COM_EL_001","CH4",2035,0
"Region1","BS_COM_EL_001","CH4",2036,0
"Region1","BS_COM_EL_001","CH4",2037,0
"Region1","BS_COM_EL_001","CH4",2038,0
"Region1","BS_COM_EL_001","CH4",2039,0
"Region1","BS_COM_EL_001","CH4",2040,0
"Region1","BS_COM_EL_001","CH4",2041,0
"Region1","BS_COM_EL_001","CH4",2042,0
"Region1","BS_COM_EL_001","CH4",2043,0
"Region1","BS_COM_EL_001","CH4",2044,0
"Region1","BS_COM_EL_001","CH4",2045,0
"Region1","BS_COM_EL_001","CH4",2046,0
