r,t,y,TotalCapacityAnnual
"Region1","BIODSL_PROD_001",2018,155.416609267127
"Region1","BIODSL_PROD_001",2019,181.765777194745
"Region1","BIODSL_PROD_001",2020,209.06692935376
"Region1","BIODSL_PROD_001",2021,237.365924526777
"Region1","BIODSL_PROD_001",2022,266.710882707005
"Region1","BIODSL_PROD_001",2023,297.152321062934
"Region1","BIODSL_PROD_001",2024,328.743230574051
"Region1","BIODSL_PROD_001",2025,361.539230092291
"Region1","BIODSL_PROD_001",2026,395.598685194824
"Region1","BIODSL_PROD_001",2027,430.98287523462
"Region1","BIODSL_PROD_001",2028,467.756097238474
"Region1","BIODSL_PROD_001",2029,505.985848242466
"Region1","BIODSL_PROD_001",2030,545.742973046869
"Region1","BIODSL_PROD_001",2031,574.3112828423
"Region1","BIODSL_PROD_001",2032,604.267734356232
"Region1","BIODSL_PROD_001",2033,635.680372639308
"Region1","BIODSL_PROD_001",2034,668.620660079822
"Region1","BIODSL_PROD_001",2035,703.797451527855
"Region1","BIOETH_PROD_001",2018,0
"Region1","BIOETH_PROD_001",2019,23.6730237069407
"Region1","BIOETH_PROD_001",2020,47.6465967168117
"Region1","BIOETH_PROD_001",2021,71.9350704967597
"Region1","BIOETH_PROD_001",2022,96.5534817761776
"Region1","BIOETH_PROD_001",2023,121.517585257226
"Region1","BIOETH_PROD_001",2024,146.843888038504
"Region1","BIOETH_PROD_001",2025,172.549685361236
"Region1","BIOETH_PROD_001",2026,184.16697749745
"Region1","BIOETH_PROD_001",2027,196.09672119882
"Region1","BIOETH_PROD_001",2028,208.353836277328
"Region1","BIOETH_PROD_001",2029,220.953954920192
"Region1","BIOETH_PROD_001",2030,233.913455805281
"Region1","BIOETH_PROD_001",2031,247.249499752675
"Region1","BIOETH_PROD_001",2032,260.980066664066
"Region1","BIOETH_PROD_001",2033,275.123995735974
"Region1","BIOETH_PROD_001",2034,289.701024917892
"Region1","BIOETH_PROD_001",2035,304.731835317932
"Region1","BS_COM_EL_001",2018,0
"Region1","BS_COM_EL_001",2019,0
"Region1","BS_COM_EL_001",2020,0
"Region1","BS_COM_EL_001",2021,0
"Region1","BS_COM_EL_001",2022,0
"Region1","BS_COM_EL_001",2023,0
"Region1","BS_COM_EL_001",2024,0
"Region1","BS_COM_EL_001",2025,0
"Region1","BS_COM_EL_001",2026,0
"Region1","BS_COM_EL_001",2027,0
"Region1","BS_COM_EL_001",2028,0
"Region1","BS_COM_EL_001",2029,0
"Region1","BS_COM_EL_001",2030,0
"Region1","BS_COM_EL_001",2031,0
"Region1","BS_COM_EL_001",2032,0
"Region1","BS_COM_EL_001",2033,0
"Region1","BS_COM_EL_001",2034,0
"Region1","BS_COM_EL_001",2035,0
"Region1","BS_COM_HEAT_001",2018,0
"Region1","BS_COM_HEAT_001",2019,0
"Region1","BS_COM_HEAT_001",2020,0
"Region1","BS_COM_HEAT_001",2021,0
"Region1","BS_COM_HEAT_001",2022,0
"Region1","BS_COM_HEAT_001",2023,0
"Region1","BS_COM_HEAT_001",2024,0
"Region1","BS_COM_HEAT_001",2025,0
"Region1","BS_COM_HEAT_001",2026,0
"Region1","BS_COM_HEAT_001",2027,0
"Region1","BS_COM_HEAT_001",2028,0
