r,t,f,y,UseByTechnologyAnnual
"Region1","BIODSL_PROD_001","COM_OTH",2025,0
"Region1","BIODSL_PROD_001","COM_OTH",2026,0
"Region1","BIODSL_PROD_001","COM_OTH",2027,0
"Region1","BIODSL_PROD_001","COM_OTH",2028,0
"Region1","BIODSL_PROD_001","COM_OTH",2029,0
"Region1","BIODSL_PROD_001","COM_OTH",2030,0
"Region1","BIODSL_PROD_001","COM_OTH",2031,0
"Region1","BIODSL_PROD_001","COM_OTH",2032,0
"Region1","BIODSL_PROD_001","COM_OTH",2033,0
"Region1","BIODSL_PROD_001","COM_OTH",2034,0
"Region1","BIODSL_PROD_001","COM_OTH",2035,0
"Region1","BIODSL_PROD_001","DSL",2018,0
"Region1","BIODSL_PROD_001","DSL",2019,0
"Region1","BIODSL_PROD_001","DSL",2020,0
"Region1","BIODSL_PROD_001","DSL",2021,0
"Region1","BIODSL_PROD_001","DSL",2022,0
"Region1","BIODSL_PROD_001","DSL",2023,0
"Region1","BIODSL_PROD_001","DSL",2024,0
"Region1","BIODSL_PROD_001","DSL",2025,0
"Region1","BIODSL_PROD_001","DSL",2026,0
"Region1","BIODSL_PROD_001","DSL",2027,0
"Region1","BIODSL_PROD_001","DSL",2028,0
"Region1","BIODSL_PROD_001","DSL",2029,0
"Region1","BIODSL_PROD_001","DSL",2030,0
"Region1","BIODSL_PROD_001","DSL",2031,0
"Region1","BIODSL_PROD_001","DSL",2032,0
"Region1","BIODSL_PROD_001","DSL",2033,0
"Region1","BIODSL_PROD_001","DSL",2034,0
"Region1","BIODSL_PROD_001","DSL",2035,0
"Region1","BIODSL_PROD_001","ELC_001",2018,0
"Region1","BIODSL_PROD_001","ELC_001",2019,0
"Region1","BIODSL_PROD_001","ELC_001",2020,0
"Region1","BIODSL_PROD_001","ELC_001",2021,0
"Region1","BIODSL_PROD_001","ELC_001",2022,0
"Region1","BIODSL_PROD_001","ELC_001",2023,0
"Region1","BIODSL_PROD_001","ELC_001",2024,0
"Region1","BIODSL_PROD_001","ELC_001",2025,0
"Region1","BIODSL_PROD_001","ELC_001",2026,0
"Region1","BIODSL_PROD_001","ELC_001",2027,0
"Region1","BIODSL_PROD_001","ELC_001",2028,0
"Region1","BIODSL_PROD_001","ELC_001",2029,0
"Region1","BIODSL_PROD_001","ELC_001",2030,0
"Region1","BIODSL_PROD_001","ELC_001",2031,0
"Region1","BIODSL_PROD_001","ELC_001",2032,0
"Region1","BIODSL_PROD_001","ELC_001",2033,0
"Region1","BIODSL_PROD_001","ELC_001",2034,0
"Region1","BIODSL_PROD_001","ELC_001",2035,0
"Region1","BIODSL_PROD_001","ELC_002",2018,0
"Region1","BIODSL_PROD_001","ELC_002",2019,0
"Region1","BIODSL_PROD_001","ELC_002",2020,0
"Region1","BIODSL_PROD_001","ELC_002",2021,0
"Region1","BIODSL_PROD_001","ELC_002",2022,0
"Region1","BIODSL_PROD_001","ELC_002",2023,0
"Region1","BIODSL_PROD_001","ELC_002",2024,0
"Region1","BIODSL_PROD_001","ELC_002",2025,0
"Region1","BIODSL_PROD_001","ELC_002",2026,0
"Region1","BIODSL_PROD_001","ELC_002",2027,0
"Region1","BIODSL_PROD_001","ELC_002",2028,0
"Region1","BIODSL_PROD_001","ELC_002",2029,0
"Region1","BIODSL_PROD_001","ELC_002",2030,0
"Region1","BIODSL_PROD_001","ELC_002",2031,0
"Region1","BIODSL_PROD_001","ELC_002",2032,0
"Region1","BIODSL_PROD_001","ELC_002",2033,0
"Region1","BIODSL_PROD_001","ELC_002",2034,0
"Region1","BIODSL_PROD_001","ELC_002",2035,0
"Region1","BIODSL_PROD_001","ELC_003",2018,0
"Region1","BIODSL_PROD_001","ELC_003",2019,0
"Region1","BIODSL_PROD_001","ELC_003",2020,0
"Region1","BIODSL_PROD_001","ELC_003",2021,0
"Region1","BIODSL_PROD_001","ELC_003",2022,0
"Region1","BIODSL_PROD_001","ELC_003",2023,0
"Region1","BIODSL_PROD_001","ELC_003",2024,0
"Region1","BIODSL_PROD_001","ELC_003",2025,0
"Region1","BIODSL_PROD_001","ELC_003",2026,0
"Region1","BIODSL_PROD_001","ELC_003",2027,0
"Region1","BIODSL_PROD_001","ELC_003",2028,0
"Region1","BIODSL_PROD_001","ELC_003",2029,0
"Region1","BIODSL_PROD_001","ELC_003",2030,0
