r,t,y,TotalCapacityAnnual
"Region1","BS_TRA_AIR_PSNG",2023,0
"Region1","BS_TRA_AIR_PSNG",2024,0
"Region1","BS_TRA_AIR_PSNG",2025,0
"Region1","BS_TRA_AIR_PSNG",2026,0
"Region1","BS_TRA_AIR_PSNG",2027,0
"Region1","BS_TRA_AIR_PSNG",2028,0
"Region1","BS_TRA_AIR_PSNG",2029,0
"Region1","BS_TRA_AIR_PSNG",2030,0
"Region1","BS_TRA_AIR_PSNG",2031,0
"Region1","BS_TRA_AIR_PSNG",2032,0
"Region1","BS_TRA_AIR_PSNG",2033,0
"Region1","BS_TRA_AIR_PSNG",2034,0
"Region1","BS_TRA_AIR_PSNG",2035,0
"Region1","BS_TRA_LAND_FREIGHT",2018,0
"Region1","BS_TRA_LAND_FREIGHT",2019,0
"Region1","BS_TRA_LAND_FREIGHT",2020,0
"Region1","BS_TRA_LAND_FREIGHT",2021,0
"Region1","BS_TRA_LAND_FREIGHT",2022,0
"Region1","BS_TRA_LAND_FREIGHT",2023,0
"Region1","BS_TRA_LAND_FREIGHT",2024,0
"Region1","BS_TRA_LAND_FREIGHT",2025,0
"Region1","BS_TRA_LAND_FREIGHT",2026,0
"Region1","BS_TRA_LAND_FREIGHT",2027,0
"Region1","BS_TRA_LAND_FREIGHT",2028,0
"Region1","BS_TRA_LAND_FREIGHT",2029,0
"Region1","BS_TRA_LAND_FREIGHT",2030,0
"Region1","BS_TRA_LAND_FREIGHT",2031,0
"Region1","BS_TRA_LAND_FREIGHT",2032,0
"Region1","BS_TRA_LAND_FREIGHT",2033,0
"Region1","BS_TRA_LAND_FREIGHT",2034,0
"Region1","BS_TRA_LAND_FREIGHT",2035,0
"Region1","BS_TRA_LAND_PSNG",2018,0
"Region1","BS_TRA_LAND_PSNG",2019,0
"Region1","BS_TRA_LAND_PSNG",2020,0
"Region1","BS_TRA_LAND_PSNG",2021,0
"Region1","BS_TRA_LAND_PSNG",2022,0
"Region1","BS_TRA_LAND_PSNG",2023,0
"Region1","BS_TRA_LAND_PSNG",2024,0
"Region1","BS_TRA_LAND_PSNG",2025,0
"Region1","BS_TRA_LAND_PSNG",2026,0
"Region1","BS_TRA_LAND_PSNG",2027,0
"Region1","BS_TRA_LAND_PSNG",2028,0
"Region1","BS_TRA_LAND_PSNG",2029,0
"Region1","BS_TRA_LAND_PSNG",2030,0
"Region1","BS_TRA_LAND_PSNG",2031,0
"Region1","BS_TRA_LAND_PSNG",2032,0
"Region1","BS_TRA_LAND_PSNG",2033,0
"Region1","BS_TRA_LAND_PSNG",2034,0
"Region1","BS_TRA_LAND_PSNG",2035,0
"Region1","BS_TRA_SHIP_FREIGHT",2018,0
"Region1","BS_TRA_SHIP_FREIGHT",2019,0
"Region1","BS_TRA_SHIP_FREIGHT",2020,0
"Region1","BS_TRA_SHIP_FREIGHT",2021,0
"Region1","BS_TRA_SHIP_FREIGHT",2022,0
"Region1","BS_TRA_SHIP_FREIGHT",2023,0
"Region1","BS_TRA_SHIP_FREIGHT",2024,0
"Region1","BS_TRA_SHIP_FREIGHT",2025,0
"Region1","BS_TRA_SHIP_FREIGHT",2026,0
"Region1","BS_TRA_SHIP_FREIGHT",2027,0
"Region1","BS_TRA_SHIP_FREIGHT",2028,0
"Region1","BS_TRA_SHIP_FREIGHT",2029,0
"Region1","BS_TRA_SHIP_FREIGHT",2030,0
"Region1","BS_TRA_SHIP_FREIGHT",2031,0
"Region1","BS_TRA_SHIP_FREIGHT",2032,0
"Region1","BS_TRA_SHIP_FREIGHT",2033,0
"Region1","BS_TRA_SHIP_FREIGHT",2034,0
"Region1","BS_TRA_SHIP_FREIGHT",2035,0
"Region1","BS_TRA_SHIP_PSNG",2018,0
"Region1","BS_TRA_SHIP_PSNG",2019,0
"Region1","BS_TRA_SHIP_PSNG",2020,0
"Region1","BS_TRA_SHIP_PSNG",2021,0
"Region1","BS_TRA_SHIP_PSNG",2022,0
"Region1","BS_TRA_SHIP_PSNG",2023,0
"Region1","BS_TRA_SHIP_PSNG",2024,0
"Region1","BS_TRA_SHIP_PSNG",2025,0
"Region1","BS_TRA_SHIP_PSNG",2026,0
"Region1","BS_TRA_SHIP_PSNG",2027,0
"Region1","BS_TRA_SHIP_PSNG",2028,0
"Region1","BS_TRA_SHIP_PSNG",2029,0
"Region1","BS_TRA_SHIP_PSNG",2030,0
"Region1","BS_TRA_SHIP_PSNG",2031,0
"Region1","BS_TRA_SHIP_PSNG",2032,0
"Region1","BS_TRA_SHIP_PSNG",2033,0
"Region1","BS_TRA_SHIP_PSNG",2034,0
"Region1","BS_TRA_SHIP_PSNG",2035,0
"Region1","COM_CWH_BIO_001",2018,25.355310180018
"Region1","COM_CWH_BIO_001",2019,38.6776045534554
"Region1","COM_CWH_BIO_001",2020,52.6299945964597
"Region1","COM_CWH_BIO_001",2021,67.2642767136714
