r,y,TotalDiscountedCost
"Region1",2018,96749.2068318864
"Region1",2019,102949.170281431
"Region1",2020,100623.620765469
"Region1",2021,94881.955732701
"Region1",2022,90660.543049947
"Region1",2023,86432.8434538299
"Region1",2024,81731.8721144296
"Region1",2025,74510.726407941
"Region1",2026,71628.1148490317
"Region1",2027,68891.7826984922
"Region1",2028,64525.2581409496
"Region1",2029,61213.2221061599
"Region1",2030,58035.1991756072
"Region1",2031,58514.59007176
"Region1",2032,54539.2467139908
"Region1",2033,52764.9291576167
"Region1",2034,51554.3893927574
"Region1",2035,50656.7776966695
